17,68869678
16,74139097
1,713617884
12,34035862
13,30352487
5,658564795
11,29614728
15,26661575
3,229886523
21,67101483
23,74629074
2,631916494
8,820747133
1,336341292
21,94329253
10,35859012
15,74347178
9,013133685
11,528937
13,25668362
13,59092293
22,09502126
17,36583753
15,93638357
7,466799424
19,73740863
13,63865548
20,37429366
2,816130099
18,82259566
12,52157202
17,51994572
25,67513801
19,6628096
9,808042286
19,08885705
6,368886979
25,64085461
20,40598273
13,99598117
13,37989855
13,7506734
11,99230409
6,806947375
21,62917125
28,76554644
15,3118256
10,84307795
20,70993359
14,20378252
25,82188498
13,25776592
4,967071426
10,03773631
8,360189248
1,423402672
4,403894117
22,23135906
15,77995162
20,70909003
11,21866743
14,72338935
7,058327163
23,51856236
16,37894028
15,99208216
14,85866077
18,61956915
18,71319595
15,97312602
24,72141004
6,096338701
20,808948
30,25790901
21,60884632
10,02326852
9,255186604
5,261886407
12,76602828
21,14240741
17,90458354
12,90557319
19,92377091
2,837171259
21,06623268
15,35872256
11,00702233
24,58669568
19,36484322
0,2978438614
10,74435003
18,0461498
30,21843694
10,94294388
17,69792815
10,81875011
-14,06540579
15,68278348
17,19253445
6,806947375
