16,27264769
6,4378813
14,89642077
18,342885
19,49804332
15,01671281
4,143608155
11,92515615
2,297515809
15,99365337
6,277432792
17,85616437
12,40108563
9,955197445
24,68344551
14,07265731
10,61102953
15,52335138
14,17263579
11,62134626
6,374853317
0,7113115746
-7,63053745
24,8389691
17,56504875
5,445463418
6,002115103
15,47706265
4,389553712
14,14688572
17,79898898
15,56459242
15,90539373
15,42835921
2,204720065
13,34851081
13,63189799
11,65936769
16,79281954
11,26420134
21,9220286
11,44230996
15,71300831
11,38398861
18,7131403
14,66011358
4,197741279
17,80508714
11,78527359
13,46829808
4,35391971
13,45434871
14,7022823
11,71634526
15,56197308
4,074059095
15,89030521
11,64268301
19,27891876
16,00834625
10,01133601
17,1546711
14,91532234
14,77511237
14,9921701
14,66305352
7,380340637
19,57197159
16,75201506
19,02435119
8,000675141
22,8741877
9,266309778
6,465343492
2,769625414
5,374427335
13,71611265
26,23235136
13,38932893
10,98380185
20,38613761
16,58606184
8,878851392
13,79163709
10,26282039
11,50705006
-0,4371619551
10,34135298
20,8989562
10,98522748
6,802161213
14,51674538
7,122608028
11,8974825
5,141442077
10,87359837
10,52400453
19,41445621
17,34301836
1,717740222
